0.00000000,2.28083308,2.23193592,2.65282656,2.48597049,2.54807719,2.09063851,3.01800258,2.83595478,2.90709298,2.67986341,2.60153233,2.31351498
2.28083308,0.00000000,2.45154978,2.51447358,2.81209942,2.33987891,2.36968719,2.60512062,3.27319506,2.93821453,2.93920584,2.54468357,2.62472575
2.23193592,2.45154978,0.00000000,2.54257604,2.33179496,2.62633712,2.33104948,2.72361458,2.70827217,3.23005257,2.89317394,2.89026280,2.64164447
2.65282656,2.51447358,2.54257604,0.00000000,2.42357689,2.34096346,2.40450063,2.42060948,2.69161138,2.59935217,3.21547838,2.90085726,2.76076719
2.48597049,2.81209942,2.33179496,2.42357689,0.00000000,2.12825889,2.08406109,2.55953203,2.26195792,2.71872335,2.59844943,3.05798042,2.68272590
2.54807719,2.33987891,2.62633712,2.34096346,2.12825889,0.00000000,1.87884553,2.13112300,2.58403238,2.44362275,2.60571932,2.48398222,2.60514945
2.09063851,2.36968719,2.33104948,2.40450063,2.08406109,1.87884553,0.00000000,2.05562403,2.17157387,2.32888334,2.22095255,2.24149190,1.99760444
3.01800258,2.60512062,2.72361458,2.42060948,2.55953203,2.13112300,2.05562403,0.00000000,2.31168312,2.26598383,2.64815393,2.45148796,2.47622685
2.83595478,3.27319506,2.70827217,2.69161138,2.26195792,2.58403238,2.17157387,2.31168312,0.00000000,2.29596950,2.36799911,2.75089363,2.52895125
2.90709298,2.93821453,3.23005257,2.59935217,2.71872335,2.44362275,2.32888334,2.26598383,2.29596950,0.00000000,2.32026742,2.37815504,2.48656521
2.67986341,2.93920584,2.89317394,3.21547838,2.59844943,2.60571932,2.22095255,2.64815393,2.36799911,2.32026742,0.00000000,2.22125688,2.21738870
2.60153233,2.54468357,2.89026280,2.90085726,3.05798042,2.48398222,2.24149190,2.45148796,2.75089363,2.37815504,2.22125688,0.00000000,1.95700507
2.31351498,2.62472575,2.64164447,2.76076719,2.68272590,2.60514945,1.99760444,2.47622685,2.52895125,2.48656521,2.21738870,1.95700507,0.00000000
