0.00023626,0.26173875,0.00001351,0.86148387,0.99710250,0.10184289,0.03476273,0.07423275,0.82617843,0.00082354,0.29761475,0.07290410,0.00013369,0.00233480,0.00019906,0.55277479,0.00240889,0.44682926,0.00022661,0.59538567,0.00063750,0.18131122,0.62405914,0.09808189,0.28060427,0.55165642,0.00744907,0.00090597,0.23234068,0.99483538,0.31016275,0.16447733,0.00119946,0.06422610,0.00090957,0.09019846,0.00013447,0.00078634,0.11971346,0.00339249,0.81887656,0.57844764,0.00601665,0.56387824,0.03551219,0.02860183,0.28257126,0.88499933,0.15118395,0.14905627,0.11705195,0.00001885,0.78663248,0.00338482,0.39009264,0.27473339,0.49867344,0.09509572,0.04353208,0.07261452,0.08636025,0.97860253,0.95566952,0.51501513,0.00036285,0.92167544,0.99085361,0.00147895,0.01914611,0.26471493,0.04371918,0.30877382,0.93068713,0.72219658,0.61604869,0.81910378,0.82423747,0.12704206,0.46422836,0.08401930,0.96475899,0.03564250,0.31934190,0.07048386,0.97936082,0.22878395,0.42184171,0.06310961,0.17097504,0.07256196,0.98364794,0.20240782,0.00016063,0.89425522,0.09715006,0.26036254,0.80193543,0.55809826,0.00048028,0.93699932,0.01827913,0.10362922,0.00825447,0.00299264,0.45952380,0.00598469,0.00000402,0.00214187,0.11131551,0.00970461,0.09856216,0.40639618,0.14317200,0.21734481,0.00493283,0.00252155,0.03742393,0.00127660,0.00107860
0.00000393,0.38078785,0.00008240,0.02545622,0.99038923,0.07761326,0.02339445,0.01432698,0.61810338,0.00193921,0.00861331,0.27289063,0.00003100,0.00027468,0.00046892,0.83881509,0.04768369,0.00333133,0.00041101,0.81795728,0.00108516,0.86566478,0.90037107,0.05962044,0.09065810,0.19001354,0.00688413,0.00021938,0.17125507,0.95559049,0.80216932,0.73779833,0.00755566,0.04320829,0.36858678,0.35655534,0.00019226,0.02255709,0.25502956,0.05141488,0.08012672,0.69710451,0.14791441,0.24309173,0.42996228,0.14992622,0.04068836,0.92849445,0.82753706,0.03875035,0.28328168,0.00001407,0.68646324,0.02398552,0.00048964,0.01558254,0.36483401,0.53702134,0.06272195,0.03866938,0.03339965,0.96163779,0.99091852,0.48150501,0.00042342,0.02306141,0.33966905,0.00036869,0.01574264,0.54722691,0.02905030,0.47976995,0.85552680,0.80408645,0.00051328,0.84631693,0.25137055,0.06195190,0.95642400,0.17562936,0.99482536,0.06165168,0.63425243,0.68528378,0.99149817,0.34988168,0.00014732,0.06039800,0.74613482,0.06574644,0.96046847,0.42028722,0.00058383,0.78637069,0.25470638,0.35346675,0.43350202,0.39680743,0.00035948,0.01625294,0.00619317,0.42428160,0.00012365,0.02214849,0.73895156,0.00235870,0.00929680,0.00513676,0.15564024,0.14303055,0.41932034,0.00002586,0.01315602,0.22876878,0.00635850,0.03253935,0.14551467,0.58133471,0.00060911
0.00011582,0.68640476,0.00114135,0.92297626,0.92992181,0.13787638,0.41214237,0.00130761,0.88091230,0.03301992,0.00025869,0.80416459,0.00100328,0.00062136,0.02375367,0.62104839,0.73997849,0.06414641,0.00044137,0.29405496,0.04291370,0.00017821,0.82591003,0.04362065,0.11535704,0.20540124,0.04791056,0.00091507,0.07928777,0.93048495,0.12772967,0.94980103,0.09712853,0.00424772,0.26601890,0.07888165,0.00129752,0.03229873,0.06418301,0.26109695,0.66037792,0.36291793,0.26800820,0.53640199,0.19050995,0.82789785,0.21999986,0.90948939,0.08273759,0.02551539,0.16202825,0.00044447,0.00499095,0.09703239,0.19909875,0.08562431,0.04570896,0.40608892,0.07401201,0.08897717,0.09155289,0.96834302,0.90985274,0.41548443,0.00566686,0.71564603,0.00384863,0.00052146,0.03202035,0.41741338,0.52432078,0.35538229,0.00356048,0.91533434,0.28605026,0.62022513,0.00542306,0.01980525,0.80361909,0.31963196,0.88161904,0.08827874,0.25828138,0.74353296,0.79311311,0.12571353,0.14824903,0.80297446,0.86536026,0.27279752,0.98089331,0.27359468,0.04384065,0.56374288,0.60540074,0.20678097,0.51250523,0.57758224,0.00013377,0.90902418,0.00486818,0.25456822,0.00352615,0.06234647,0.70405507,0.02235457,0.01646196,0.01875865,0.42413214,0.00257026,0.00636205,0.00043004,0.02779812,0.10233668,0.08983206,0.00203376,0.14399235,0.00322934,0.00329058
0.00004537,0.30522543,0.01309353,0.01649245,0.55211294,0.12900677,0.89416564,0.00304505,0.60293663,0.22906467,0.02506817,0.84377986,0.00322517,0.00780034,0.07523455,0.78261250,0.52928168,0.45232511,0.00640816,0.01690665,0.00141025,0.68656129,0.84198719,0.00202098,0.21831459,0.21386692,0.40842763,0.00109820,0.30899927,0.79219794,0.00021386,0.48926279,0.14292398,0.00817202,0.55542701,0.51030231,0.00543547,0.05517332,0.03000703,0.00474097,0.42927071,0.46812701,0.00085164,0.27498993,0.42726800,0.46323401,0.31090376,0.93302447,0.00528979,0.01713821,0.19003397,0.00234596,0.00505710,0.00014335,0.91961461,0.86939436,0.01109256,0.30100149,0.26921698,0.07680833,0.62510687,0.53166008,0.01078510,0.08853022,0.03291922,0.05709475,0.99378127,0.02173643,0.23246606,0.49259609,0.35413715,0.69698071,0.05576642,0.67365098,0.98787683,0.19726864,0.01164364,0.11525875,0.00895613,0.22372833,0.15706722,0.34664729,0.92592013,0.01805611,0.00789779,0.09427276,0.05543858,0.11141149,0.47377598,0.39907157,0.87695873,0.33747190,0.04647524,0.14929721,0.64754051,0.09712587,0.53344053,0.66965753,0.00021838,0.03240445,0.02574035,0.69283283,0.00270297,0.00399899,0.43592075,0.12131649,0.00007292,0.01126805,0.58630550,0.00070485,0.01274623,0.22457702,0.10031477,0.11385518,0.01093748,0.03846037,0.12879616,0.17162608,0.01651824
0.00000033,0.29515165,0.04321620,0.92527902,0.32375473,0.13231921,0.49003968,0.04735359,0.05066152,0.02243093,0.24959190,0.45496544,0.03650128,0.01100414,0.19816969,0.41775286,0.00457375,0.02284836,0.06427088,0.14391106,0.00135733,0.99135494,0.63061857,0.07817671,0.35703138,0.42558059,0.00148116,0.00677532,0.42667168,0.33966753,0.06622619,0.00483328,0.02198790,0.07972694,0.00976500,0.37538451,0.01697141,0.08850120,0.01661772,0.02202541,0.81696522,0.42687494,0.00482916,0.47888878,0.44791925,0.01295623,0.61283779,0.82817101,0.17648636,0.02718140,0.08287240,0.03791216,0.05694338,0.09084444,0.01178888,0.24211451,0.43080223,0.55723792,0.07688675,0.01431113,0.38361740,0.50168657,0.03550737,0.07665400,0.00170004,0.48196441,0.29066831,0.02431062,0.21706650,0.56232673,0.18338078,0.71314281,0.39530590,0.29675758,0.00024200,0.33186990,0.05543092,0.22020991,0.01487668,0.15631002,0.19786386,0.35219526,0.11972074,0.01850069,0.00410004,0.22517791,0.40182239,0.02276934,0.58538187,0.45164564,0.72651744,0.07314206,0.04043017,0.15329938,0.16850631,0.27076718,0.53800410,0.66529763,0.11755648,0.84513724,0.11758855,0.50492984,0.00056066,0.01968049,0.69079053,0.08122176,0.01435470,0.01648970,0.53473568,0.00558084,0.41372231,0.06099109,0.26060393,0.19059844,0.00572503,0.01604357,0.30362222,0.27052549,0.01980409
0.00000229,0.38149440,0.00022140,0.00386104,0.27127182,0.12173681,0.66163182,0.06606703,0.76888049,0.00049402,0.36055455,0.22933201,0.00155421,0.00791017,0.10593778,0.20326839,0.02673460,0.37928405,0.02935679,0.77684283,0.00461486,0.00010124,0.65218049,0.04069554,0.48942655,0.45629787,0.00367247,0.00476853,0.48249403,0.09381189,0.82106483,0.00181727,0.05468533,0.16072568,0.02342869,0.31896701,0.00246155,0.30069056,0.11206137,0.05060447,0.25516233,0.48671916,0.21972825,0.46778795,0.14167038,0.01815767,0.16625041,0.39671782,0.52549505,0.14896418,0.05523955,0.00719218,0.29151469,0.18824148,0.44158202,0.08860205,0.84550881,0.38396674,0.07836755,0.43685284,0.11266921,0.41367173,0.71808976,0.23305495,0.00096899,0.07636096,0.00366625,0.05609358,0.13161500,0.26261851,0.36575744,0.68758744,0.65922385,0.20925489,0.41351923,0.46100724,0.55336708,0.01388044,0.36106730,0.29341018,0.63849705,0.09845179,0.52823812,0.03237505,0.88555789,0.12521385,0.32433084,0.00949523,0.41911310,0.37583736,0.55007142,0.01081648,0.01782251,0.09114696,0.07198976,0.32127422,0.25095081,0.51938331,0.28927881,0.01745416,0.07548366,0.25389564,0.00020775,0.13417621,0.57747310,0.16101654,0.05798763,0.05820724,0.10216606,0.21246429,0.73749185,0.67063993,0.55454874,0.19872142,0.00706831,0.03356984,0.20279886,0.00087335,0.02922167
0.00104888,0.35934421,0.00005882,0.65468794,0.32532609,0.04104937,0.29865953,0.14479128,0.82905853,0.00009238,0.03603080,0.26219094,0.00004564,0.02141663,0.04084361,0.50488251,0.16923214,0.07146680,0.00226842,0.63749647,0.01402883,0.40793979,0.39889070,0.10327576,0.53819460,0.45345858,0.09072284,0.00364692,0.30607563,0.13215928,0.10622428,0.34471127,0.00451002,0.12709825,0.12212403,0.12127025,0.00478468,0.23390453,0.07853360,0.03068144,0.59536541,0.43184668,0.02188117,0.24459358,0.02959031,0.06939553,0.29126704,0.41545996,0.08027688,0.49123052,0.01705740,0.00042627,0.59356451,0.00574999,0.40264720,0.57145959,0.41446248,0.57120204,0.02681633,0.00925958,0.05729870,0.52949512,0.91619307,0.04032673,0.00062854,0.23349133,0.58944070,0.04662548,0.02593258,0.14260903,0.17820996,0.59122211,0.77626979,0.54255867,0.07114233,0.51385498,0.10667605,0.01789613,0.70200408,0.32312909,0.77100146,0.02867594,0.32926902,0.22567452,0.94325876,0.10197676,0.09721700,0.06398816,0.24768740,0.05257660,0.44116655,0.00632988,0.00185066,0.25049338,0.03259841,0.13505633,0.31584594,0.60952914,0.01167403,0.33891639,0.03671477,0.48199856,0.00297213,0.02327882,0.60583550,0.04390378,0.00712538,0.07675734,0.01077107,0.10887646,0.05900735,0.72340882,0.53957587,0.27421132,0.00938983,0.02669881,0.28751656,0.01258532,0.00664018
0.00404235,0.40150517,0.00083423,0.00337175,0.37969908,0.03193030,0.61374921,0.04280972,0.32922870,0.00604513,0.00039813,0.19184585,0.00011706,0.04757049,0.01329019,0.49904221,0.59367341,0.00364799,0.00999252,0.35478374,0.09513389,0.43544281,0.42916390,0.22378372,0.54889071,0.40078533,0.29707050,0.01769440,0.42454365,0.18801588,0.00298459,0.89726329,0.07788366,0.08333986,0.76431632,0.05874822,0.01407460,0.33513966,0.06821702,0.05717636,0.02441723,0.36613443,0.57409149,0.20417334,0.06873935,0.80035192,0.24163006,0.50795025,0.04547388,0.36937171,0.00168274,0.00106521,0.02095413,0.09701338,0.17901693,0.29020518,0.10613982,0.42395458,0.23684493,0.00650186,0.28491485,0.40879211,0.60514867,0.10630313,0.00569886,0.02241538,0.06889259,0.46271628,0.04083625,0.12590295,0.27816254,0.74002969,0.03946014,0.55123568,0.00005272,0.71024430,0.00095249,0.05383809,0.54440397,0.45326614,0.58589119,0.01396032,0.14382046,0.71833873,0.75547814,0.09907984,0.00833606,0.07212374,0.57645583,0.12760341,0.42944112,0.01081157,0.04206460,0.25898236,0.00968598,0.12791044,0.19826402,0.54814178,0.13112848,0.00798754,0.11858389,0.42963114,0.01483373,0.16194887,0.55851692,0.23968047,0.01858953,0.06974360,0.00262207,0.11048034,0.16212556,0.34178630,0.54387265,0.42641136,0.04100461,0.09694570,0.44852883,0.79252470,0.10553722
0.23406248,0.51781690,0.05470035,0.92304599,0.29780239,0.01498907,0.80495369,0.01466432,0.01598288,0.31739992,0.01319808,0.44269520,0.01158521,0.57501459,0.00409307,0.58134389,0.38053074,0.06719800,0.00693700,0.01850465,0.16750926,0.00048069,0.45629102,0.14201133,0.35322472,0.54852068,0.50138557,0.12308977,0.20695037,0.33616543,0.00015638,0.34846908,0.08144324,0.06971615,0.03772420,0.09626664,0.07436042,0.11744899,0.00748875,0.00768189,0.91558921,0.18951693,0.04582210,0.34705237,0.00724402,0.37133470,0.59379935,0.17983778,0.00059052,0.26454768,0.00021095,0.00787846,0.07576040,0.03031502,0.22760104,0.77874720,0.04322301,0.16295569,0.22783604,0.36462411,0.77903086,0.53063083,0.00538614,0.06054607,0.14192796,0.65647209,0.08430834,0.32551622,0.02538242,0.13463591,0.20521368,0.80623037,0.00856216,0.42116901,0.89129949,0.22907501,0.00375445,0.01652237,0.00852481,0.42756221,0.02555289,0.01278464,0.08041138,0.28094411,0.00099145,0.23753262,0.02447082,0.54328328,0.37540758,0.04287237,0.50309581,0.01277831,0.04885302,0.58132172,0.01119302,0.08057453,0.25919241,0.59246016,0.26478356,0.77460319,0.13879612,0.39951715,0.03145212,0.13178103,0.78316033,0.48603231,0.00089363,0.18054669,0.00402621,0.03743323,0.02492983,0.40910318,0.65483761,0.38237324,0.20147616,0.02169267,0.44466689,0.00050422,0.25088787
0.57146806,0.50561196,0.00989231,0.00252787,0.19392388,0.01043567,0.58859897,0.02081128,0.02064552,0.09879598,0.52368033,0.10404330,0.01412045,0.07031153,0.00223762,0.03359810,0.02567515,0.28408816,0.00904345,0.07561362,0.02772751,0.98065770,0.49716678,0.02515150,0.30675349,0.70634604,0.18056969,0.36009896,0.14379779,0.46826798,0.13558765,0.00038754,0.00936953,0.27606601,0.57767832,0.17911252,0.00611756,0.23672567,0.03026361,0.00002575,0.48153898,0.55128872,0.00073617,0.11096424,0.00682809,0.00209174,0.40075836,0.12193321,0.00400764,0.17287278,0.00007873,0.00952554,0.53995234,0.00004502,0.64990735,0.52734894,0.51341975,0.53347689,0.08306921,0.00332368,0.27706185,0.38007894,0.04770296,0.01756654,0.35728830,0.04910422,0.95648247,0.17039652,0.02414003,0.00703770,0.16804554,0.89396995,0.26530805,0.19249080,0.16098037,0.69242883,0.50093240,0.01036758,0.13128833,0.28330940,0.43623534,0.10072804,0.10019070,0.00230664,0.00186012,0.07754377,0.05182508,0.00056766,0.22086582,0.00764477,0.25848415,0.01544761,0.02647849,0.58731222,0.00076429,0.08054142,0.15399840,0.78240293,0.32705396,0.02443281,0.21032792,0.19316801,0.05836661,0.02372957,0.87061137,0.26901656,0.00070825,0.40283200,0.00222591,0.01593552,0.20088999,0.74365664,0.57926428,0.66990149,0.35195336,0.40577590,0.48558584,0.50693536,0.16672288
