0.00000000,3.08288540,3.36686175,3.59807710,3.45319071,3.18150582,2.64563148,4.01536244,3.89335651,3.69483605,3.46872960,3.53818175,3.16796663
3.08288540,0.00000000,3.37065705,3.58725805,3.66956526,3.04985267,2.88189630,3.28390029,4.37503915,3.73258029,3.67756557,3.43451637,3.31396424
3.36686175,3.37065705,0.00000000,3.48498758,3.45152521,3.62789318,3.03988379,3.41251406,3.56562277,4.29121562,3.97964440,3.83703843,3.50002880
3.59807710,3.58725805,3.48498758,0.00000000,3.32168023,3.36262259,3.16661411,3.25697035,3.40407582,3.39038599,4.32757528,3.75708145,3.52734514
3.45319071,3.66956526,3.45152521,3.32168023,0.00000000,3.04088718,2.87054401,3.35565657,3.08430792,3.36976351,3.31458239,3.99715972,3.42507561
3.18150582,3.04985267,3.62789318,3.36262259,3.04088718,0.00000000,2.56407099,3.05949043,3.47425025,3.15820769,3.11842943,3.10797800,3.30037649
2.64563148,2.88189630,3.03988379,3.16661411,2.87054401,2.56407099,0.00000000,2.71698719,3.05763763,2.96798479,2.78308759,2.72491725,2.31640219
4.01536244,3.28390029,3.41251406,3.25697035,3.35565657,3.05949043,2.71698719,0.00000000,3.01219671,3.12228249,3.51448265,3.05864232,3.04371578
3.89335651,4.37503915,3.56562277,3.40407582,3.08430792,3.47425025,3.05763763,3.01219671,0.00000000,3.12445149,3.46391014,3.56677955,3.36003147
3.69483605,3.73258029,4.29121562,3.39038599,3.36976351,3.15820769,2.96798479,3.12228249,3.12445149,0.00000000,3.06355474,3.13798205,3.11600600
3.46872960,3.67756557,3.97964440,4.32757528,3.31458239,3.11842943,2.78308759,3.51448265,3.46391014,3.06355474,0.00000000,2.90028851,3.02424043
3.53818175,3.43451637,3.83703843,3.75708145,3.99715972,3.10797800,2.72491725,3.05864232,3.56677955,3.13798205,2.90028851,0.00000000,2.68307709
3.16796663,3.31396424,3.50002880,3.52734514,3.42507561,3.30037649,2.31640219,3.04371578,3.36003147,3.11600600,3.02424043,2.68307709,0.00000000
