0.00000000,2.22476733,2.17600890,2.58890832,2.42563410,2.48543323,2.03774646,2.94327805,2.76620794,2.83579364,2.61217449,2.53545854,2.25467968
2.22476733,0.00000000,2.39111405,2.45135709,2.74363503,2.28100428,2.31104315,2.53915758,3.19256905,2.86483521,2.86561432,2.48030067,2.55851431
2.17600890,2.39111405,0.00000000,2.48123373,2.27444281,2.56070493,2.27298265,2.65721523,2.64194816,3.15039267,2.82088588,2.81828099,2.57604723
2.58890832,2.45135709,2.48123373,0.00000000,2.36616877,2.28466593,2.34699617,2.36081706,2.62636439,2.53545259,3.13696068,2.82880641,2.69373529
2.42563410,2.74363503,2.27444281,2.36616877,0.00000000,2.07917529,2.03362480,2.49828597,2.20542537,2.65282968,2.53520656,2.98274175,2.61736495
2.48543323,2.28100428,2.56070493,2.28466593,2.07917529,0.00000000,1.83404360,2.07823561,2.52149233,2.38412533,2.54201663,2.42130662,2.54133594
2.03774646,2.31104315,2.27298265,2.34699617,2.03362480,1.83404360,0.00000000,2.00632442,2.11922554,2.27276719,2.16532799,2.18585488,1.94777235
2.94327805,2.53915758,2.65721523,2.36081706,2.49828597,2.07823561,2.00632442,0.00000000,2.25710145,2.21055186,2.58357797,2.39035409,2.41569185
2.76620794,3.19256905,2.64194816,2.62636439,2.20542537,2.52149233,2.11922554,2.25710145,0.00000000,2.24125469,2.31133597,2.68443004,2.46799672
2.83579364,2.86483521,3.15039267,2.53545259,2.65282968,2.38412533,2.27276719,2.21055186,2.24125469,0.00000000,2.26480772,2.31885502,2.42638564
2.61217449,2.86561432,2.82088588,3.13696068,2.53520656,2.54201663,2.16532799,2.58357797,2.31133597,2.26480772,0.00000000,2.16627293,2.16216254
2.53545854,2.48030067,2.81828099,2.82880641,2.98274175,2.42130662,2.18585488,2.39035409,2.68443004,2.31885502,2.16627293,0.00000000,1.90886154
2.25467968,2.55851431,2.57604723,2.69373529,2.61736495,2.54133594,1.94777235,2.41569185,2.46799672,2.42638564,2.16216254,1.90886154,0.00000000
