letter_a,letter_b,distance
o,i,3.245594
o,j,3.200377
o,k,3.085929
o,l,3.338002
o,m,3.237333
o,n,3.229743
o,o,2.653831
o,p,3.210250
o,r,3.178676
o,s,3.201698
o,t,3.070811
o,u,3.238505
o,v,3.309488
o,y,3.150438
o,ä,3.179621
o,ö,3.325753
p,a,3.296474
p,b,3.106664
p,d,3.238796
p,e,3.173375
p,f,3.207972
p,g,3.267203
p,h,3.149902
p,i,3.210050
p,j,3.223036
p,k,3.111414
p,l,3.195327
p,m,3.257146
p,n,3.205155
p,o,3.210250
p,p,2.557003
p,r,3.263484
p,s,3.129248
p,t,3.127534
p,u,3.165437
p,v,3.375112
p,y,3.033348
p,ä,3.113424
p,ö,3.232891
r,a,3.367420
r,b,3.291183
r,d,3.418237
r,e,3.231389
r,f,3.364721
r,g,3.260890
r,h,3.306668
r,i,3.278515
r,j,3.302041
r,k,3.192402
r,l,3.301547
r,m,3.254953
r,n,3.329680
r,o,3.178676
r,p,3.263484
r,r,2.669964
r,s,3.265674
r,t,3.172543
r,u,3.273304
r,v,3.287355
r,y,3.215608
r,ä,3.256952
r,ö,3.397050
s,a,3.302179
s,b,3.225419
s,d,3.369262
s,e,3.279574
s,f,3.318965
s,g,3.219904
s,h,3.081013
s,i,3.199242
s,j,3.208390
s,k,3.085811
s,l,3.257918
s,m,3.299982
s,n,3.202872
s,o,3.201698
s,p,3.129248
s,r,3.265674
s,s,2.685421
s,t,3.095130
s,u,3.136503
s,v,3.406168
s,y,3.106562
s,ä,3.138778
s,ö,3.357434
t,a,3.229531
t,b,3.156578
t,d,3.299896
t,e,3.090400
t,f,3.243218
t,g,3.234255
t,h,3.107188
t,i,3.129035
t,j,3.199272
t,k,3.065390
t,l,3.224227
t,m,3.150280
t,n,3.137533
t,o,3.070811
t,p,3.127534
t,r,3.172543
t,s,3.095130
t,t,2.530086
t,u,3.155744
t,v,3.245941
t,y,3.035556
t,ä,3.050189
t,ö,3.289093
u,a,3.294650
u,b,3.256533
u,d,3.437720
u,e,3.296710
u,f,3.249342
u,g,3.263466
u,h,3.147664
u,i,3.238342
u,j,3.142162
u,k,3.192422
u,l,3.296896
u,m,3.234770
u,n,3.239041
u,o,3.238505
u,p,3.165437
u,r,3.273304
u,s,3.136503
u,t,3.155744
u,u,2.704512
u,v,3.405071
u,y,3.137730
u,ä,3.022298
u,ö,3.435114
v,a,3.470598
v,b,3.296141
v,d,3.481900
v,e,3.297388
v,f,3.382583
v,g,3.555608
v,h,3.371264
v,i,3.364987
v,j,3.429533
v,k,3.214585
v,l,3.400497
v,m,3.334978
v,n,3.395096
v,o,3.309488
v,p,3.375112
v,r,3.287355
v,s,3.406168
v,t,3.245941
v,u,3.405071
v,v,2.791491
v,y,3.271408
v,ä,3.336923
v,ö,3.501967
y,a,3.295865
y,b,3.178301
y,d,3.246199
y,e,3.189360
y,f,3.147729
y,g,3.268550
y,h,3.153882
y,i,3.180848
y,j,3.191567
y,k,3.130027
y,l,3.251376
y,m,3.195958
y,n,3.189438
y,o,3.150438
y,p,3.033348
y,r,3.215608
y,s,3.106562
y,t,3.035556
y,u,3.137730
y,v,3.271408
y,y,2.654199
y,ä,3.088087
y,ö,3.353682
ä,a,3.187852
ä,b,3.122021
ä,d,3.377479
ä,e,3.296604
ä,f,3.231634
ä,g,3.257163
ä,h,3.138610
ä,i,3.224364
ä,j,3.201922
ä,k,3.140645
ä,l,3.353882
ä,m,3.224341
ä,n,3.195255
ä,o,3.179621
ä,p,3.113424
ä,r,3.256952
ä,s,3.138778
ä,t,3.050189
ä,u,3.022298
ä,v,3.336923
ä,y,3.088087
ä,ä,2.507287
ä,ö,3.430657
ö,a,3.514694
ö,b,3.420489
ö,d,3.429203
ö,e,3.345218
ö,f,3.359670
ö,g,3.442298
ö,h,3.429869
ö,i,3.480885
ö,j,3.375669
ö,k,3.249794
ö,l,3.327631
ö,m,3.424200
ö,n,3.380160
ö,o,3.325753
ö,p,3.232891
ö,r,3.397050
ö,s,3.357434
ö,t,3.289093
ö,u,3.435114
ö,v,3.501967
ö,y,3.353682
ö,ä,3.430657
ö,ö,2.748817
