letter_a,letter_b,distance
j,q,2.417771
j,r,3.313907
j,s,3.114356
j,t,3.207847
j,u,3.054450
j,v,3.020506
j,w,1.947497
j,x,2.835802
j,y,2.486467
j,z,2.315753
j,à,1.872563
j,â,2.153072
j,ç,1.996338
j,è,2.465937
j,é,3.322325
j,ê,2.136373
j,î,1.858551
j,ï,1.875453
j,ô,2.067477
j,û,2.036423
j,ü,1.824664
k,a,2.816380
k,b,2.755772
k,c,2.971281
k,d,2.963781
k,e,3.369947
k,f,2.736183
k,g,2.913981
k,h,2.741937
k,i,2.885891
k,j,2.196338
k,k,1.450661
k,l,3.012715
k,m,2.783021
k,n,2.942710
k,o,2.945735
k,p,2.723466
k,q,2.292910
k,r,3.189542
k,s,2.920046
k,t,3.030537
k,u,2.882552
k,v,2.736157
k,w,1.593882
k,x,2.502065
k,y,2.206024
k,z,1.937642
k,à,1.503767
k,â,1.791912
k,ç,1.626603
k,è,2.153913
k,é,3.161330
k,ê,1.938560
k,î,1.560758
k,ï,1.534335
k,ô,1.728118
k,û,1.627679
k,ü,1.408130
l,a,3.683147
l,b,3.541031
l,c,3.623555
l,d,3.746334
l,e,4.044517
l,f,3.549797
l,g,3.573354
l,h,3.495505
l,i,3.642345
l,j,3.139047
l,k,3.012715
l,l,3.177707
l,m,3.530488
l,n,3.612141
l,o,3.723943
l,p,3.557753
l,q,3.276812
l,r,3.784842
l,s,3.686496
l,t,3.677443
l,u,3.645666
l,v,3.513045
l,w,2.858245
l,x,3.388865
l,y,3.279942
l,z,3.085979
l,à,2.790887
l,â,2.933615
l,ç,2.848844
l,è,3.151560
l,é,3.888850
l,ê,3.035788
l,î,2.788974
l,ï,2.820484
l,ô,2.913905
l,û,2.869227
l,ü,2.785526
m,a,3.562099
m,b,3.394836
m,c,3.516834
m,d,3.464676
m,e,3.900827
m,f,3.355295
m,g,3.504942
m,h,3.300799
m,i,3.505479
m,j,3.003742
m,k,2.783021
m,l,3.530488
m,m,2.874197
m,n,3.498248
m,o,3.580959
m,p,3.447893
m,q,3.072260
m,r,3.651745
m,s,3.555078
m,t,3.625686
m,u,3.528747
m,v,3.412305
m,w,2.604053
m,x,3.251914
m,y,3.076085
m,z,2.896163
m,à,2.646594
m,â,2.828787
m,ç,2.729895
m,è,2.989306
m,é,3.756224
m,ê,2.800515
m,î,2.683766
m,ï,2.663533
m,ô,2.706061
m,û,2.671337
m,ü,2.593769
n,a,3.678395
n,b,3.549258
n,c,3.672135
n,d,3.634309
n,e,3.984505
n,f,3.570628
n,g,3.602534
n,h,3.436621
n,i,3.688520
n,j,3.091868
n,k,2.942710
n,l,3.612141
n,m,3.498248
n,n,3.028428
n,o,3.705053
n,p,3.597893
n,q,3.313563
n,r,3.756141
n,s,3.669251
n,t,3.724197
n,u,3.628977
n,v,3.518737
n,w,2.895535
n,x,3.463574
n,y,3.219643
n,z,3.049002
n,à,2.798776
n,â,3.032233
n,ç,2.828151
n,è,3.171157
n,é,3.876720
n,ê,3.030474
n,î,2.792321
n,ï,2.793702
n,ô,2.911160
n,û,2.859340
n,ü,2.794115
o,a,3.479772
o,b,3.520079
o,c,3.642361
o,d,3.659906
o,e,3.873466
o,f,3.543282
o,g,3.566733
o,h,3.435654
o,i,3.561588
o,j,3.095153
o,k,2.945735
o,l,3.723943
o,m,3.580959
o,n,3.705053
o,o,3.022398
o,p,3.574110
o,q,3.205592
o,r,3.808019
o,s,3.630697
o,t,3.729023
o,u,3.668144
o,v,3.480828
o,w,2.799122
o,x,3.467034
o,y,3.124356
o,z,3.090785
o,à,2.730931
o,â,2.943084
o,ç,2.791111
o,è,3.075551
o,é,3.742667
o,ê,2.988273
o,î,2.767232
o,ï,2.784530
o,ô,2.882988
o,û,2.849489
o,ü,2.726430
p,a,3.518826
p,b,3.348990
p,c,3.444161
p,d,3.512604
p,e,3.922118
p,f,3.404847
p,g,3.435181
p,h,3.314445
p,i,3.499190
p,j,3.013961
p,k,2.723466
p,l,3.557753
p,m,3.447893
p,n,3.597893
p,o,3.574110
p,p,2.812130
p,q,3.074242
p,r,3.688107
p,s,3.541261
p,t,3.607270
p,u,3.564726
p,v,3.402139
p,w,2.599836
p,x,3.237233
p,y,2.979953
p,z,2.837425
p,à,2.517822
p,â,2.748170
p,ç,2.603848
p,è,3.006342
p,é,3.750614
p,ê,2.807313
p,î,2.581911
p,ï,2.568647
p,ô,2.678752
p,û,2.637339
p,ü,2.483677
q,a,3.223816
q,b,3.013631
q,c,3.217186
q,d,3.264618
q,e,3.624281
q,f,3.203672
q,g,3.136598
q,h,3.002502
q,i,3.171038
q,j,2.417771
q,k,2.292910
q,l,3.276812
q,m,3.072260
q,n,3.313563
q,o,3.205592
q,p,3.074242
q,q,2.024553
q,r,3.456412
q,s,3.198426
q,t,3.311078
q,u,3.124834
q,v,3.150211
q,w,2.074762
q,x,2.828328
q,y,2.530529
q,z,2.427941
q,à,2.108653
q,â,2.316129
q,ç,2.193432
q,è,2.566036
q,é,3.455422
q,ê,2.325087
q,î,2.058436
q,ï,2.072295
q,ô,2.209486
q,û,2.160372
q,ü,2.011556
r,a,3.806963
r,b,3.684170
r,c,3.764372
r,d,3.746292
r,e,4.112944
r,f,3.695093
r,g,3.785502
r,h,3.605379
r,i,3.814374
r,j,3.313907
r,k,3.189542
r,l,3.784842
r,m,3.651745
r,n,3.756141
r,o,3.808019
r,p,3.688107
r,q,3.456412
r,r,3.438824
r,s,3.775563
r,t,3.830583
r,u,3.830724
r,v,3.695741
r,w,3.071614
r,x,3.542483
r,y,3.386875
r,z,3.200621
r,à,3.003430
r,â,3.182995
r,ç,3.124486
r,è,3.332016
r,é,3.977004
r,ê,3.173745
r,î,3.015411
r,ï,3.081346
r,ô,3.160964
r,û,3.092567
r,ü,2.994535
s,a,3.617456
s,b,3.501128
s,c,3.608648
s,d,3.677680
s,e,3.911059
s,f,3.544808
s,g,3.635325
s,h,3.507360
s,i,3.633940
s,j,3.114356
s,k,2.920046
s,l,3.686496
s,m,3.555078
s,n,3.669251
s,o,3.630697
s,p,3.541261
s,q,3.198426
s,r,3.775563
s,s,3.110791
s,t,3.717653
s,u,3.635712
s,v,3.493148
s,w,2.819904
s,x,3.423601
s,y,3.215249
s,z,3.106448
s,à,2.805738
s,â,2.966467
s,ç,2.847952
s,è,3.120569
s,é,3.777300
s,ê,3.045710
s,î,2.814637
s,ï,2.790524
s,ô,2.939572
s,û,2.888000
s,ü,2.761237
t,a,3.690428
t,b,3.663604
t,c,3.706046
t,d,3.754571
t,e,4.068235
t,f,3.617164
t,g,3.716926
t,h,3.564070
t,i,3.777861
t,j,3.207847
t,k,3.030537
t,l,3.677443
t,m,3.625686
t,n,3.724197
t,o,3.729023
t,p,3.607270
t,q,3.311078
t,r,3.830583
t,s,3.717653
t,t,3.243164
t,u,3.666311
t,v,3.591027
t,w,2.913435
t,x,3.424456
t,y,3.373505
t,z,3.228083
t,à,2.919326
t,â,2.978127
t,ç,2.954612
t,è,3.241997
t,é,3.916623
t,ê,3.051256
t,î,2.877703
t,ï,2.917262
t,ô,3.021300
t,û,2.921979
t,ü,2.861331
u,a,3.530747
u,b,3.559800
u,c,3.667275
u,d,3.617840
u,e,3.994194
u,f,3.577025
u,g,3.592774
u,h,3.494966
u,i,3.609575
u,j,3.054450
u,k,2.882552
u,l,3.645666
u,m,3.528747
u,n,3.628977
u,o,3.668144
u,p,3.564726
u,q,3.124834
u,r,3.830724
u,s,3.635712
u,t,3.666311
u,u,2.914562
u,v,3.486014
u,w,2.744631
u,x,3.285938
u,y,3.137091
u,z,3.090312
u,à,2.748603
u,â,2.924548
u,ç,2.773379
u,è,3.037255
u,é,3.842002
u,ê,2.903362
u,î,2.788770
u,ï,2.745154
u,ô,2.846503
u,û,2.794587
u,ü,2.675814
v,a,3.461293
v,b,3.464836
v,c,3.421008
v,d,3.542109
v,e,3.860107
v,f,3.363166
v,g,3.494875
v,h,3.323112
v,i,3.515477
v,j,3.020506
v,k,2.736157
v,l,3.513045
v,m,3.412305
v,n,3.518737
v,o,3.480828
v,p,3.402139
v,q,3.150211
v,r,3.695741
v,s,3.493148
v,t,3.591027
v,u,3.486014
v,v,2.758341
v,w,2.615346
v,x,3.299129
v,y,3.073603
v,z,2.901469
v,à,2.563824
v,â,2.788362
v,ç,2.638758
v,è,2.992188
v,é,3.711545
v,ê,2.811319
v,î,2.586746
v,ï,2.579614
v,ô,2.729345
v,û,2.670831
v,ü,2.539692
w,a,2.736342
w,b,2.564084
w,c,2.787104
w,d,2.862570
w,e,3.278788
w,f,2.687689
w,g,2.782184
w,h,2.501009
w,i,2.752417
w,j,1.947497
w,k,1.593882
w,l,2.858245
w,m,2.604053
w,n,2.895535
w,o,2.799122
w,p,2.599836
w,q,2.074762
w,r,3.071614
w,s,2.819904
w,t,2.913435
w,u,2.744631
w,v,2.615346
w,w,1.026385
w,x,2.289481
w,y,2.042478
w,z,1.802866
w,à,1.206964
w,â,1.458320
w,ç,1.292710
w,è,1.854861
w,é,3.064901
w,ê,1.614323
w,î,1.240933
w,ï,1.159986
w,ô,1.426577
w,û,1.295693
w,ü,1.052853
x,a,3.368016
x,b,3.319966
x,c,3.431092
x,d,3.469240
x,e,3.795012
x,f,3.255249
x,g,3.333098
x,h,3.151370
x,i,3.408395
x,j,2.835802
x,k,2.502065
x,l,3.388865
x,m,3.251914
x,n,3.463574
x,o,3.467034
x,p,3.237233
x,q,2.828328
x,r,3.542483
x,s,3.423601
x,t,3.424456
x,u,3.285938
x,v,3.299129
x,w,2.289481
x,x,2.336413
x,y,2.869110
x,z,2.594617
x,à,2.343518
x,â,2.472830
x,ç,2.437278
x,è,2.625482
x,é,3.598377
x,ê,2.570448
x,î,2.356270
x,ï,2.302653
x,ô,2.376000
x,û,2.326081
x,ü,2.254265
y,a,3.084101
y,b,2.967637
y,c,3.202816
y,d,3.158387
y,e,3.520241
y,f,3.097696
y,g,3.103933
y,h,2.973559
y,i,3.288324
y,j,2.486467
y,k,2.206024
y,l,3.279942
y,m,3.076085
y,n,3.219643
y,o,3.124356
y,p,2.979953
y,q,2.530529
y,r,3.386875
y,s,3.215249
y,t,3.373505
y,u,3.137091
y,v,3.073603
y,w,2.042478
y,x,2.869110
y,y,1.848907
y,z,2.307605
y,à,1.907142
y,â,2.220186
y,ç,2.054045
y,è,2.370923
y,é,3.421225
y,ê,2.257339
y,î,1.971253
y,ï,1.989184
y,ô,2.058990
y,û,2.056373
y,ü,1.861000
z,a,2.968878
z,b,2.823729
z,c,3.101131
z,d,2.982568
z,e,3.500761
z,f,2.851118
z,g,2.894540
z,h,2.757665
z,i,3.042729
z,j,2.315753
z,k,1.937642
z,l,3.085979
z,m,2.896163
z,n,3.049002
z,o,3.090785
z,p,2.837425
z,q,2.427941
z,r,3.200621
z,s,3.106448
z,t,3.228083
z,u,3.090312
z,v,2.901469
z,w,1.802866
z,x,2.594617
z,y,2.307605
z,z,1.596944
z,à,1.641858
z,â,1.970595
z,ç,1.796731
z,è,2.195662
z,é,3.296175
z,ê,2.003629
z,î,1.717188
z,ï,1.715133
z,ô,1.928616
z,û,1.789993
z,ü,1.617954
à,a,2.671384
à,b,2.496753
à,c,2.728260
à,d,2.803001
à,e,3.176386
à,f,2.618260
à,g,2.675861
à,h,2.416618
à,i,2.708588
à,j,1.872563
à,k,1.503767
à,l,2.790887
à,m,2.646594
à,n,2.798776
à,o,2.730931
à,p,2.517822
à,q,2.108653
à,r,3.003430
à,s,2.805738
à,t,2.919326
à,u,2.748603
à,v,2.563824
à,w,1.206964
à,x,2.343518
à,y,1.907142
à,z,1.641858
à,à,0.907568
à,â,1.385499
à,ç,1.195973
à,è,1.794272
à,é,2.970860
à,ê,1.517077
à,î,1.158671
à,ï,1.131079
à,ô,1.352840
à,û,1.234970
à,ü,0.951317
â,a,2.828447
â,b,2.711293
â,c,2.904293
â,d,3.054364
â,e,3.284768
â,f,2.760384
â,g,2.851232
â,h,2.539713
â,i,2.836329
â,j,2.153072
â,k,1.791912
â,l,2.933615
â,m,2.828787
â,n,3.032233
â,o,2.943084
â,p,2.748170
â,q,2.316129
â,r,3.182995
â,s,2.966467
â,t,2.978127
â,u,2.924548
â,v,2.788362
â,w,1.458320
â,x,2.472830
â,y,2.220186
â,z,1.970595
â,à,1.385499
â,â,1.326107
â,ç,1.514215
â,è,2.064096
â,é,3.169268
â,ê,1.723511
â,î,1.470408
â,ï,1.414894
â,ô,1.626289
â,û,1.478277
â,ü,1.264864
ç,a,2.725949
ç,b,2.561760
ç,c,2.825373
ç,d,2.894127
ç,e,3.268135
ç,f,2.709445
ç,g,2.738956
ç,h,2.505877
ç,i,2.796192
ç,j,1.996338
ç,k,1.626603
ç,l,2.848844
ç,m,2.729895
ç,n,2.828151
ç,o,2.791111
ç,p,2.603848
ç,q,2.193432
ç,r,3.124486
ç,s,2.847952
ç,t,2.954612
ç,u,2.773379
ç,v,2.638758
ç,w,1.292710
ç,x,2.437278
ç,y,2.054045
ç,z,1.796731
ç,à,1.195973
ç,â,1.514215
ç,ç,1.073028
ç,è,1.891672
ç,é,3.092932
ç,ê,1.628362
ç,î,1.254734
ç,ï,1.183635
ç,ô,1.493498
ç,û,1.289867
ç,ü,1.108686
è,a,3.098182
è,b,2.921427
è,c,3.143238
è,d,3.127432
è,e,3.555276
è,f,2.963079
è,g,3.002460
è,h,2.848497
è,i,3.149595
è,j,2.465937
è,k,2.153913
è,l,3.151560
è,m,2.989306
è,n,3.171157
è,o,3.075551
è,p,3.006342
è,q,2.566036
è,r,3.332016
è,s,3.120569
è,t,3.241997
è,u,3.037255
