letter_a,letter_b,distance
r,g,2.783322
r,h,3.408388
r,i,3.706749
r,j,3.441072
r,k,3.432069
r,l,3.498459
r,m,3.523305
r,n,3.732308
r,o,3.686114
r,p,3.317481
r,r,3.020859
r,s,3.685305
r,t,3.669779
r,u,3.634617
r,v,3.540954
r,y,3.584375
r,ä,3.668442
r,ö,3.313261
s,a,3.832331
s,b,2.960752
s,d,3.392664
s,e,3.772534
s,f,3.019539
s,g,3.034001
s,h,3.510413
s,i,3.777918
s,j,3.541919
s,k,3.599772
s,l,3.636702
s,m,3.646659
s,n,3.776394
s,o,3.728857
s,p,3.471263
s,r,3.685305
s,s,3.195019
s,t,3.753746
s,u,3.729803
s,v,3.693088
s,y,3.594782
s,ä,3.748153
s,ö,3.436198
t,a,3.840246
t,b,2.980413
t,d,3.437956
t,e,3.837219
t,f,3.101307
t,g,3.010628
t,h,3.549841
t,i,3.857367
t,j,3.588186
t,k,3.589399
t,l,3.663146
t,m,3.681635
t,n,3.798113
t,o,3.763162
t,p,3.550107
t,r,3.669779
t,s,3.753746
t,t,3.347563
t,u,3.809205
t,v,3.696822
t,y,3.720168
t,ä,3.812961
t,ö,3.491361
u,a,3.584242
u,b,2.967784
u,d,3.297205
u,e,3.597117
u,f,2.955884
u,g,2.846431
u,h,3.489562
u,i,3.640402
u,j,3.532985
u,k,3.544612
u,l,3.629435
u,m,3.654197
u,n,3.796898
u,o,3.579436
u,p,3.482682
u,r,3.634617
u,s,3.729803
u,t,3.809205
u,u,3.058079
u,v,3.666985
u,y,3.479350
u,ä,3.610027
u,ö,3.338209
v,a,3.757846
v,b,2.836149
v,d,3.273144
v,e,3.719280
v,f,2.861268
v,g,2.838892
v,h,3.363957
v,i,3.761936
v,j,3.475121
v,k,3.410793
v,l,3.553367
v,m,3.553299
v,n,3.730750
v,o,3.621321
v,p,3.401252
v,r,3.540954
v,s,3.693088
v,t,3.696822
v,u,3.666985
v,v,3.059756
v,y,3.537599
v,ä,3.680521
v,ö,3.375198
y,a,3.615482
y,b,2.814628
y,d,3.157860
y,e,3.496678
y,f,2.796269
y,g,2.694102
y,h,3.332166
y,i,3.544230
y,j,3.367794
y,k,3.415337
y,l,3.512334
y,m,3.485003
y,n,3.728971
y,o,3.529903
y,p,3.335781
y,r,3.584375
y,s,3.594782
y,t,3.720168
y,u,3.479350
y,v,3.537599
y,y,2.770376
y,ä,3.459903
y,ö,3.208737
ä,a,3.700181
